comment,source
kaaaaa cauuuu mania,instagram
hati hati guys banyak buzzer dari mafia mafia yg terganggu yg komen,instagram
buset enak banget ngomongnya saya serahkan ke mereka ,instagram
pada dasarnya terus yang baik pak??? hasilnya lihat ga tuh gmna???? ada yang salah itu woiii dalam kinerja pemerintahan prabowo.. jangan denial lh,instagram
banyak sekali buzzer buzzer mafia yg komen,instagram
di bawa kendali?????? ,instagram
belom smpet ketemu?lu kalo tau jalan keluar nya tinggal telp aja bos..,instagram
mundur aja pur .. biar di pegang keluarganya prabowo menku nya ,instagram
"mundur aja pak lebih baik, pusing saya dnger komentar bapak yg ngles terus",instagram
my 3 topnotch websites to practice english,instagram
"artinya investasi asing itu bukan sekedar masalah tanam duit dapet untung dll, tapi sebagai alat perang memerangi suatu negara karena kebijakan pemerintah yg gak nurut maunya para konglomerat asing.",instagram
efek terlalu banyak titip menitip,instagram
tp org desa gak pakai dollar kok skrg panik?,instagram
aroma bakal diganti si pur nih ,instagram
hmmm ingat beli beras  orang di desa tidak pakai dolar guyss... wkkkkkk bobo aghh pusingg,instagram
"narikin pajak abis²an lu org udh, karma ye? mknya jgn dzolim",instagram
kasi mimpi terus,instagram
"serahkan rp ke kejaksaan, mereka yg membuat investors hengkang, cb google masuk kursi pesakitan, hancur 22,000",instagram
"pas lihat akun yg koment, pengikut nya 0 ",instagram
masih nunggu dia memperbaiki rupiah dalam satu malem,instagram
"langsung aja pak, tunjuk kambing hitamnya....",instagram
ekonomi rapuh ekonomi bingung,instagram
fiskalnya amburadul...pur kebanyaken ngecepek...ngelantur bisa ini bisa itu hasil...zhonk,instagram
apa mungkin biar genap sampai 20rb? ,instagram
yuk bisa yuk 1 usd rp 1jt,instagram
gubernur bi itu ponakan nya si wowo yg sangat tidak berkompeten itu,instagram
"mundur aja, mending balik jadi trader aja ",instagram
manuisa omon omon,instagram
"rudo made it, cosko  golden brown best part slowed",instagram
"panik sih,engga... stress? iya...",instagram
ya emng dari awal kan emng urusan bi anjirr bukan urusan diaa cuman bi ga becus kerjanya  yagasi? cmiiw,instagram
bapak ga panik ini buibuk panik pak apa2 naik boro2 bisa beli skincare ini mah,instagram
3129 disuruh tidur,instagram
"gabetul lagi lah kalo gini terus pak. ke negeri jiran ajalah kabur, di sana sekalian bhs eng karna di sana lumayan jg bhs eng dan mandarinnya, terus klo mau upgrade lagi dan eng sdh memadai move ke mata pencahariannya yg dollar ",instagram
ujung2nya juga di serahkan ke masyarakat,instagram
"asal bunyi kadang beliau kl ngomong, kayak peramal kadang bener kadang salah ",instagram
harusnya presiden membuat tim secepatnya utk menurunkan nilai tukar apa saja tindakannya,instagram
kelihatan udh muak dia. udh kyk. yah udhlah. mampus aja lu sana. capek gw. kyk gitu.. krna banyaknya orang jokowi msh menjabat. d tambah prabowo cuman oke gas. oke gas. dengerin seskab doang. bapak in udh muak kyknya. capek kerja. dianggap badut sama orng pemerintahan,instagram
"yang panik pengusaha, kita mah biasa biasa saja, gak ada pengaruh yg penting bisa makan setiap harinya",instagram
wkwkwk..mereka tidak memiliki jalan keluar.. serahkan segalanya kepada yg kuasa,instagram
ciee lempar lepmaran,instagram
jadi mentri paling dicari wartawan bapak ini,instagram
lorrrrr kemarin yakin skrg kok lempar ke bi?,instagram
mac demarco  moonlight on the river,instagram
"purbaya sudah ga bisa asal ngomong lagi!. awal2 ngomongnya tinggi  mudah buat janji!!!. menganggap enteng masalah! kalo sekarang lebih realistis, ga gampang lagi ngomong yg manis2. kirain awalnya menjanjikan, ternyata....",instagram
cuci tangan mulu si pur,instagram
"kasihan ..pusing beliau, malah ga tau apa penyebabnya apa....mumet ",instagram
"sinyal bakal diganti, makanya males ngapa2in",instagram
kok ga senyum  pak pur???,instagram
"purbaya juga bingung, gubernur bi gk bisa di senggol",instagram
"prabowo suruh liat purbaya, purbaya lempar ke b meanwhile ibu2 di rumah bertarung masing2",instagram
bahaya nih kalo menkeunya dah gak ada senyumnya,instagram
terserah dirimulah... negara macam apa ni? ,instagram
aurèlia  sailor song butidobelieveingod,instagram
emng purbaya bisa krj  cuma filing halu donk ??,instagram
gubernur bi harus diganti dgn kualitas setara dan seintegritas spt purbaya baru negara ini baik,instagram
ada istilah its ok not to be ok. kuncinya harus berani bilang ke ri1 bahwa imagenya sedang buruk di antaranya pemborosan dan program yang tak tepat. gak usah denial. data gak pernah bohong,instagram
rumornya akan segera direshuffle itu menkeu..tapi gantinya siapa ?,instagram
"bapak sesekali coba ke warung madura beli indomie satu,telor satu dan rokok sebatang cukup enggak uang nya 10 rb",instagram
emg selama ini elo udeh ngapain aje poor ,instagram
"pak pur pindah bi ajah pak, yg titipan itu gak guna",instagram
apa susahnya sih jangan sok terlalu kuat,instagram
"ya situ gak panikkkkkk..... lhak kita ????? kagak panikkk??? beras naik, minyak naik, listrik naik, tempe naikk, ikan naikkkk... kaya begitu gak panikkk bpk terhormat??",instagram
kasihan juga beliau semua ditanya kedia ,instagram
kentut pur pur,instagram
ancur ancur wo woprabowo,instagram
dari awal sih gk yakin nih org bisa ngimbangi ilmu smi apa lg awal dia udah gelontorkan 200t,instagram
"dolar 18rebu , harga2 naik , woy  wowo,purbaya,gub bi , rakyat menjerit woy !!!",instagram
mr. pur mulai sulit senyum ,instagram
tanda tanda ini ...,instagram
fundamental kita masih sangat baik yah pak ,instagram
lain hari lain omongan ,instagram
"rupiah diserahkan ke bi tetapi uu p2sk disahkan hari itu juga hmmm setelah ada mandat baru bahwa bank harus mendukung pertumbuhan ekonomi berkelanjutan dan juga harus bersedia diawasi dpr, kira2 market apa yg akan dilakukankan ya",instagram
"bentar lg rupiah dibenerin ke15000, biar tengkulak sama buzzer2 si soroz jantungan, lihat saja diatas tgl 15 nanti",instagram
"lempar tangan sembunyi batu ya, om ?",instagram
