original_comment,sentiment,confidence,post_url
kaaaaa cauuuu mania,negative,0.6405,https://www.instagram.com/reels/DZKBO1RoKIf/
hati hati guys banyak buzzer dari mafia mafia yg terganggu yg komen,negative,0.998,https://www.instagram.com/reels/DZKBO1RoKIf/
buset enak banget ngomongnya saya serahkan ke mereka ,positive,0.981,https://www.instagram.com/reels/DZKBO1RoKIf/
pada dasarnya terus yang baik pak??? hasilnya lihat ga tuh gmna???? ada yang salah itu woiii dalam kinerja pemerintahan prabowo.. jangan denial lh,negative,0.9717,https://www.instagram.com/reels/DZKBO1RoKIf/
banyak sekali buzzer buzzer mafia yg komen,negative,0.9312,https://www.instagram.com/reels/DZKBO1RoKIf/
di bawa kendali?????? ,negative,0.9641,https://www.instagram.com/reels/DZKBO1RoKIf/
belom smpet ketemu?lu kalo tau jalan keluar nya tinggal telp aja bos..,neutral,0.5664,https://www.instagram.com/reels/DZKBO1RoKIf/
mundur aja pur .. biar di pegang keluarganya prabowo menku nya ,neutral,0.5145,https://www.instagram.com/reels/DZKBO1RoKIf/
"mundur aja pak lebih baik, pusing saya dnger komentar bapak yg ngles terus",negative,0.9949,https://www.instagram.com/reels/DZKBO1RoKIf/
my 3 topnotch websites to practice english,neutral,0.8064,https://www.instagram.com/reels/DZKBO1RoKIf/
"artinya investasi asing itu bukan sekedar masalah tanam duit dapet untung dll, tapi sebagai alat perang memerangi suatu negara karena kebijakan pemerintah yg gak nurut maunya para konglomerat asing.",negative,0.9932,https://www.instagram.com/reels/DZKBO1RoKIf/
efek terlalu banyak titip menitip,negative,0.9951,https://www.instagram.com/reels/DZKBO1RoKIf/
tp org desa gak pakai dollar kok skrg panik?,negative,0.9928,https://www.instagram.com/reels/DZKBO1RoKIf/
aroma bakal diganti si pur nih ,neutral,0.7442,https://www.instagram.com/reels/DZKBO1RoKIf/
hmmm ingat beli beras  orang di desa tidak pakai dolar guyss... wkkkkkk bobo aghh pusingg,negative,0.7176,https://www.instagram.com/reels/DZKBO1RoKIf/
"narikin pajak abis²an lu org udh, karma ye? mknya jgn dzolim",negative,0.984,https://www.instagram.com/reels/DZKBO1RoKIf/
kasi mimpi terus,negative,0.8056,https://www.instagram.com/reels/DZKBO1RoKIf/
"serahkan rp ke kejaksaan, mereka yg membuat investors hengkang, cb google masuk kursi pesakitan, hancur 22,000",negative,0.9731,https://www.instagram.com/reels/DZKBO1RoKIf/
"pas lihat akun yg koment, pengikut nya 0 ",neutral,0.6704,https://www.instagram.com/reels/DZKBO1RoKIf/
masih nunggu dia memperbaiki rupiah dalam satu malem,negative,0.8138,https://www.instagram.com/reels/DZKBO1RoKIf/
"langsung aja pak, tunjuk kambing hitamnya....",negative,0.8739,https://www.instagram.com/reels/DZKBO1RoKIf/
ekonomi rapuh ekonomi bingung,negative,0.8224,https://www.instagram.com/reels/DZKBO1RoKIf/
fiskalnya amburadul...pur kebanyaken ngecepek...ngelantur bisa ini bisa itu hasil...zhonk,negative,0.9992,https://www.instagram.com/reels/DZKBO1RoKIf/
apa mungkin biar genap sampai 20rb? ,negative,0.8654,https://www.instagram.com/reels/DZKBO1RoKIf/
yuk bisa yuk 1 usd rp 1jt,neutral,0.9717,https://www.instagram.com/reels/DZKBO1RoKIf/
gubernur bi itu ponakan nya si wowo yg sangat tidak berkompeten itu,negative,0.9991,https://www.instagram.com/reels/DZKBO1RoKIf/
"mundur aja, mending balik jadi trader aja ",negative,0.9903,https://www.instagram.com/reels/DZKBO1RoKIf/
manuisa omon omon,negative,0.5004,https://www.instagram.com/reels/DZKBO1RoKIf/
"rudo made it, cosko  golden brown best part slowed",positive,0.9077,https://www.instagram.com/reels/DZKBO1RoKIf/
"panik sih,engga... stress? iya...",negative,0.9804,https://www.instagram.com/reels/DZKBO1RoKIf/
ya emng dari awal kan emng urusan bi anjirr bukan urusan diaa cuman bi ga becus kerjanya  yagasi? cmiiw,negative,0.9987,https://www.instagram.com/reels/DZKBO1RoKIf/
bapak ga panik ini buibuk panik pak apa2 naik boro2 bisa beli skincare ini mah,positive,0.6319,https://www.instagram.com/reels/DZKBO1RoKIf/
3129 disuruh tidur,neutral,0.6502,https://www.instagram.com/reels/DZKBO1RoKIf/
"gabetul lagi lah kalo gini terus pak. ke negeri jiran ajalah kabur, di sana sekalian bhs eng karna di sana lumayan jg bhs eng dan mandarinnya, terus klo mau upgrade lagi dan eng sdh memadai move ke mata pencahariannya yg dollar ",negative,0.9634,https://www.instagram.com/reels/DZKBO1RoKIf/
ujung2nya juga di serahkan ke masyarakat,negative,0.6479,https://www.instagram.com/reels/DZKBO1RoKIf/
"asal bunyi kadang beliau kl ngomong, kayak peramal kadang bener kadang salah ",negative,0.9061,https://www.instagram.com/reels/DZKBO1RoKIf/
harusnya presiden membuat tim secepatnya utk menurunkan nilai tukar apa saja tindakannya,negative,0.6148,https://www.instagram.com/reels/DZKBO1RoKIf/
kelihatan udh muak dia. udh kyk. yah udhlah. mampus aja lu sana. capek gw. kyk gitu.. krna banyaknya orang jokowi msh menjabat. d tambah prabowo cuman oke gas. oke gas. dengerin seskab doang. bapak in udh muak kyknya. capek kerja. dianggap badut sama orng pemerintahan,negative,0.999,https://www.instagram.com/reels/DZKBO1RoKIf/
"yang panik pengusaha, kita mah biasa biasa saja, gak ada pengaruh yg penting bisa makan setiap harinya",negative,0.9912,https://www.instagram.com/reels/DZKBO1RoKIf/
wkwkwk..mereka tidak memiliki jalan keluar.. serahkan segalanya kepada yg kuasa,negative,0.9939,https://www.instagram.com/reels/DZKBO1RoKIf/
ciee lempar lepmaran,negative,0.973,https://www.instagram.com/reels/DZKBO1RoKIf/
jadi mentri paling dicari wartawan bapak ini,neutral,0.8854,https://www.instagram.com/reels/DZKBO1RoKIf/
lorrrrr kemarin yakin skrg kok lempar ke bi?,negative,0.9748,https://www.instagram.com/reels/DZKBO1RoKIf/
mac demarco  moonlight on the river,neutral,0.9732,https://www.instagram.com/reels/DZKBO1RoKIf/
